chat,session_number,total_sessions,progress,messages,latency_seconds,indexed,failed,graph_nodes,graph_edges,chunks,valid
Chat_8_Akib_Muhhamed,1,23,0.043478260869565216,85,30.07278275489807,1,0,352,31568,1,True
Chat_8_Akib_Muhhamed,2,23,0.08695652173913043,52,33.320433378219604,2,0,690,76497,2,True
Chat_8_Akib_Muhhamed,3,23,0.13043478260869565,95,32.62656784057617,3,0,1053,146014,3,True
Chat_8_Akib_Muhhamed,4,23,0.17391304347826086,35,23.498522520065308,4,0,1255,209306,4,True
Chat_8_Akib_Muhhamed,5,23,0.21739130434782608,29,24.25075650215149,5,0,1466,278716,5,True
Chat_8_Akib_Muhhamed,6,23,0.2608695652173913,4,23.669734954833984,6,0,1602,350496,6,True
Chat_8_Akib_Muhhamed,7,23,0.30434782608695654,23,25.198460578918457,7,0,1715,417052,7,True
Chat_8_Akib_Muhhamed,8,23,0.34782608695652173,42,38.53431248664856,8,0,1934,486552,8,True
Chat_8_Akib_Muhhamed,9,23,0.391304347826087,40,23.092134475708008,9,0,2121,561736,9,True
Chat_8_Akib_Muhhamed,10,23,0.43478260869565216,45,20.92255401611328,10,0,2283,639045,10,True
Chat_8_Akib_Muhhamed,11,23,0.4782608695652174,98,30.599555253982544,11,0,2675,743773,11,True
Chat_8_Akib_Muhhamed,12,23,0.5217391304347826,66,27.411926984786987,12,0,2974,869259,12,True
Chat_8_Akib_Muhhamed,13,23,0.5652173913043478,70,26.141488552093506,13,0,3191,988553,13,True
Chat_8_Akib_Muhhamed,14,23,0.6086956521739131,1,17.08718729019165,14,0,3198,1101402,14,True
Chat_8_Akib_Muhhamed,15,23,0.6521739130434783,27,24.842617988586426,15,0,3366,1213615,15,True
Chat_8_Akib_Muhhamed,16,23,0.6956521739130435,82,38.875582695007324,16,0,3722,1355627,16,True
Chat_8_Akib_Muhhamed,17,23,0.7391304347826086,25,27.453096628189087,17,0,3896,1499286,17,True
Chat_8_Akib_Muhhamed,18,23,0.782608695652174,31,33.22307372093201,18,0,4170,1660092,18,True
Chat_8_Akib_Muhhamed,19,23,0.8260869565217391,15,27.008715629577637,19,0,4309,1827525,19,True
Chat_8_Akib_Muhhamed,20,23,0.8695652173913043,41,32.97598314285278,20,0,4552,2001856,20,True
Chat_8_Akib_Muhhamed,21,23,0.9130434782608695,11,36.603103160858154,21,0,4768,2176971,21,True
Chat_8_Akib_Muhhamed,22,23,0.9565217391304348,72,32.063270568847656,22,0,5091,2349772,22,True
Chat_8_Akib_Muhhamed,23,23,1.0,55,28.74139714241028,23,0,5312,2525487,23,True
Chat_9_Fahim_Akib,1,22,0.045454545454545456,86,28.63887929916382,1,0,356,36188,1,True
Chat_9_Fahim_Akib,2,22,0.09090909090909091,40,17.09487223625183,2,0,556,68104,2,True
Chat_9_Fahim_Akib,3,22,0.13636363636363635,80,39.348803758621216,3,0,916,128096,3,True
Chat_9_Fahim_Akib,4,22,0.18181818181818182,42,21.7523410320282,4,0,1167,194205,4,True
Chat_9_Fahim_Akib,5,22,0.22727272727272727,14,12.519118309020996,5,0,1277,256582,5,True
Chat_9_Fahim_Akib,6,22,0.2727272727272727,55,18.274268865585327,6,0,1503,327833,6,True
Chat_9_Fahim_Akib,7,22,0.3181818181818182,94,40.005610704422,7,0,1903,440113,7,True
Chat_9_Fahim_Akib,8,22,0.36363636363636365,67,27.852734804153442,8,0,2106,532028,8,True
Chat_9_Fahim_Akib,9,22,0.4090909090909091,72,25.626750707626343,9,0,2520,651502,9,True
Chat_9_Fahim_Akib,10,22,0.45454545454545453,65,17.854565143585205,10,0,2717,766087,10,True
Chat_9_Fahim_Akib,11,22,0.5,100,31.382148027420044,11,0,3067,925739,11,True
Chat_9_Fahim_Akib,12,22,0.5454545454545454,47,17.26309061050415,12,0,3301,1090472,12,True
Chat_9_Fahim_Akib,13,22,0.5909090909090909,49,21.546015739440918,13,0,3511,1229995,13,True
Chat_9_Fahim_Akib,14,22,0.6363636363636364,48,34.707451581954956,14,0,3780,1388497,14,True
Chat_9_Fahim_Akib,15,22,0.6818181818181818,69,31.043282747268677,15,0,4140,1594694,15,True
Chat_9_Fahim_Akib,16,22,0.7272727272727273,64,41.73711347579956,16,0,4503,1835156,16,True
Chat_9_Fahim_Akib,17,22,0.7727272727272727,20,21.951560735702515,17,0,4731,2067917,17,True
Chat_9_Fahim_Akib,18,22,0.8181818181818182,59,23.99575114250183,18,0,4985,2277685,18,True
Chat_9_Fahim_Akib,19,22,0.8636363636363636,16,13.232901096343994,19,0,5033,2503446,19,True
Chat_9_Fahim_Akib,20,22,0.9090909090909091,44,22.351930856704712,20,0,5240,2732986,20,True
Chat_9_Fahim_Akib,21,22,0.9545454545454546,48,22.957685708999634,21,0,5457,2972134,21,True
Chat_9_Fahim_Akib,22,22,1.0,77,25.607258081436157,22,0,5737,3226089,22,True
